Test Case ID,Module,Component Type,Screen/Flow,Test Scenario,Test Type,Priority,Test Phase,Pre-conditions,Test Steps,Test Data,Expected Result,Linked Requirement / PDD Ref
TC-LAND-P-001,GraphicTrackerCanvasApp,Power Apps Screen,scr_Landing,Personalised greeting renders for signed-in user,Positive,P1,Unit,"User signed-in to Power Apps Player with valid Entra ID; GraphicTrackerUser role assigned","1. Launch app via apps.powerapps.com/play/{appId}; 2. Wait for scr_Landing to load; 3. Observe lblHello header","User: Kuldeep Garud (Entra displayName)","lblHello reads ""Hello Kuldeep Garud"" populated from gblUser.displayName (Office365Users.MyProfileV2)",TDD Task 10 / SDD.screens.landing
TC-LAND-P-002,GraphicTrackerCanvasApp,Power Apps Screen,scr_Landing,Three navigation buttons render and navigate correctly,Positive,P1,Unit,"App opens without error on scr_Landing","1. Click ""Create a New Graphic Tracker""; 2. Back(); 3. Click ""Add/Update requests in existing Graphics Tracker""; 4. Back(); 5. Click ""Open Existing Graphic Tracker""",N/A,"Buttons navigate to scr_CreateTracker, scr_ViewTracker (active channel context), and scr_OpenTracker respectively with ScreenTransition.None",TDD Task 10 / SDD.screens.landing
TC-LAND-P-003,GraphicTrackerCanvasApp,Power Apps Screen,scr_Landing,SharePoint folder & naming convention link opens in new tab,Positive,P2,Unit,"Dataverse env variable gt_SharePointGuideUrl is configured","1. Tap lnkSharePoint on scr_Landing; 2. Observe browser tab","Env var: https://ts.accenture.com/sites/GraphicTrackerRD/...","Launch() opens the configured SharePoint URL in a new browser tab",TDD Task 18 / SDD.screens.landing
TC-LAND-P-004,GraphicTrackerCanvasApp,Power Apps Screen,scr_Landing,App.OnStart initialises gblUser and gblTheme within 1s,Positive,P1,Unit,"Warm Power Apps Player session","1. Launch app; 2. In Power Apps Studio Monitor inspect App.OnStart timing; 3. Inspect gblUser and gblTheme",N/A,"gblUser populated from Office365Users.MyProfileV2(); gblTheme contains Accenture primary RGBA(161,0,255,1); OnStart completes within 1s",TDD Task 9 / SDD.app.onStart
TC-LAND-N-001,GraphicTrackerCanvasApp,Power Apps Screen,scr_Landing,Entra displayName missing falls back gracefully,Negative,P3,Unit,"Test account exists with no displayName populated in Entra ID","1. Sign-in as account without displayName; 2. Open scr_Landing","User UPN: noname@tenant.onmicrosoft.com; displayName: null","lblHello shows ""Hello there"" or UPN prefix; app does not crash",TDD Task 10 / SDD.screens.landing
TC-CRTR-P-001,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Create tracker with valid 6-digit OppId and unique values,Positive,P1,Unit,"colMyTeams populated; OppId 123456 not present in gt_graphictracker","1. Navigate to scr_CreateTracker; 2. Enter OppId 123456; 3. Enter Deal Name; 4. Select Team; 5. Select Channel; 6. Tap btnCreate","OppId: 123456; Deal Name: Acme RFP; Team: PursuitOps; Channel: Deal-123456","Patch writes one row to gt_graphictracker; app navigates to scr_ViewTracker with gblActiveTracker set; alt-key Unique(gt_opportunityid) satisfied",TDD Task 11 / SDD.screens.create-tracker
TC-CRTR-P-002,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Team dropdown lists only Teams the user belongs to,Positive,P1,Unit,"TeamsMembershipResolver returns 3 Teams for current user","1. Open scr_CreateTracker; 2. Expand ddTeam",N/A,"ddTeam shows exactly the 3 Teams from colMyTeams (MicrosoftTeams.GetAllTeams()); no extra Teams visible",TDD Task 14 / SDD.components.TeamsMembershipResolver
TC-CRTR-P-003,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Channel dropdown cascades from selected Team,Positive,P1,Unit,"Team has 7 channels the user can read","1. Select Team in ddTeam; 2. Expand ddChannel",N/A,"ddChannel.Items resolves to MicrosoftTeams.GetChannelsForGroup(ddTeam.Selected.id).value; only readable channels are listed",TDD Task 11 / SDD.screens.create-tracker
TC-CRTR-P-004,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Teams Channel Link auto-derived and read-only,Positive,P2,Unit,"Team and Channel are selected","1. Select Team and Channel; 2. Inspect txtChannelLink",N/A,"txtChannelLink.Default = ddChannel.Selected.webUrl; control DisplayMode = View; value contains https://teams.microsoft.com/l/channel/...",TDD Task 11 / SDD.screens.create-tracker
TC-CRTR-P-005,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Cancel button returns to Landing without saving,Positive,P2,Unit,"User has entered partial data","1. Enter OppId 123456; 2. Tap btnCancel","Partial form data","Navigate(scr_Landing); no Patch executed; no row written to gt_graphictracker",TDD Task 11 / SDD.screens.create-tracker
TC-CRTR-N-001,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,OppId less than 6 digits rejected,Negative,P1,Unit,"User on scr_CreateTracker","1. Enter OppId 12345; 2. Tap btnCreate","OppId: 12345","IsMatch fails ^\d{6}$; Notify error ""Opportunity ID must be 6 digits""; Patch not invoked",TDD Task 11 / SDD.screens.create-tracker.validation
TC-CRTR-N-002,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,OppId greater than 6 digits rejected,Negative,P1,Unit,"User on scr_CreateTracker","1. Enter OppId 1234567; 2. Tap btnCreate","OppId: 1234567","Same validation message; Patch not invoked",TDD Task 11 / SDD.screens.create-tracker.validation
TC-CRTR-N-003,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,OppId with non-numeric characters rejected,Negative,P1,Unit,"User on scr_CreateTracker","1. Enter OppId AB1234; 2. Tap btnCreate","OppId: AB1234","Validation error surfaces; Patch not invoked",TDD Task 11 / SDD.screens.create-tracker.validation
TC-CRTR-N-004,GraphicTrackerCanvasApp,Power Apps Screen,scr_CreateTracker,Duplicate Opportunity ID rejected by Dataverse alt-key,Negative,P1,SIT,"Tracker with OppId 123456 already exists","1. Open scr_CreateTracker; 2. Enter OppId 123456; 3. Complete fields; 4. Tap btnCreate","Existing OppId: 123456","Patch returns error; IsBlankOrError(gblActiveTracker) true; Notify ""Opportunity ID already exists""; no duplicate row created",TDD Task 11 / SDD.dataModel GraphicTracker.Unique(OpportunityId)
